speaker,occupation,about_speaker,language
Peter Weinstock,{0: ['pediatric icu doctor']},"{0: ""Dr. Peter Weinstock is an Intensive Care Unit physician and Director of the Pediatric Simulator Program at Boston Children's Hospital/Harvard Medical School. Peter and his team fuse medicine with state of the art special effects, puppeteering and 3D printing technologies to create lifelike simulations of complex surgeries.""}",en
Michele L. Sullivan,{0: ['social innovator']},{0: 'Michele L. Sullivan is known for her sustainable and collaborative approach to philanthropic investing.'},en
Margaret Bourdeaux,"{0: ['physician', 'global health policy analyst']}","{0: 'Margaret Bourdeaux investigates the best ways to protect, recover and reconstruct health systems and institutions disrupted by war or disaster.'}",en
Simon Anholt,{0: ['policy advisor']},"{0: 'After 20 years working with the presidents and prime ministers of 54 countries, Simon Anholt has a plan to make the world work better.'}",en
Mona Chalabi,{0: ['data journalist']},"{0: 'Mona Chalabi tries to take the numb out of numbers. She\'s left with lots of ""ers.""'}",en
Ashton Cofer,{0: ['youth inventor']},{0: 'Ashton Cofer and his FIRST Robotics team won the Google Science Fair for developing a process to convert Styrofoam waste into activated carbon for purifying water.'},en
Katie Hinde,{0: ['lactation researcher']},"{0: 'Katie Hinde is studying breast milk’s status as the first superfood, providing babies with invaluable microbes custom-tailored to their individual needs, via an incredible and unlikely dialogue between the mother’s enzymes and the baby’s saliva.'}",en
Michael Botticelli,{0: ['drug policy expert']},"{0: 'As Director of National Drug Control Policy, Michael Botticelli led the Obama Administration’s drug policy efforts to diminish the consequences of substance use through evidence-based prevention, treatment and recovery support services.'}",en
Moshe Szyf,{0: ['epigeneticist']},"{0: ""Moshe Szyf's research is focused on understanding the broad implications of epigenetic mechanisms in human behavior, health and disease.""}",en
Emtithal Mahmoud,{0: ['poet']},"{0: 'Emtithal ""Emi"" Mahmoud dedicates her time to spreading understanding through poetry and advocacy, particularly for the cause of refugees and disadvantaged communities the world over.'}",en
Casey Brown,{0: ['pricing consultant']},{0: 'Casey Brown wants people to be paid well for their excellence.'},en
Gretchen Carlson,"{0: ['tv journalist', ""women's empowerment advocate""], 1: ['gospel ensemble'], 2: ['op-ed columnist', 'author'], 3: ['head of ted']}","{0: ""Gretchen Carlson is a tireless advocate for workplace equality and women's empowerment."", 1: ""Vy Higginsen's Gospel Choir of Harlem is an influential source of education and self-development for young people."", 2: 'Writer and thinker David Brooks has covered business, crime and politics over a long career in journalism. ', 3: 'After a long career in journalism and publishing, Chris Anderson became the curator of the TED Conference in 2002 and has developed it as a platform for identifying and disseminating ideas worth spreading.'}",en
Katie Bouman,{0: ['imaging scientist']},"{0: ""Katie Bouman is part of an international team of astronomers that's creating the world's largest telescope to take the very first picture of a black hole.""}",en
Sebastián Bortnik,{0: ['information security specialist']},"{0: ""Sebastián Bortnik's work is focused on preventing cyber attacks.""}",es
David R. Williams,{0: ['public health sociologist']},"{0: ""David R. Williams asks: What if we decided to tackle the striking levels of early death and poor health that are due to the color of one's skin?""}",en
Giorgia Lupi,{0: ['information designer']},"{0: 'Giorgia Lupi sees beauty in data. She challenges the impersonality that data communicate, designing engaging visual narratives that re-connect numbers to what they stand for: stories, people, ideas.'}",en
Ari Wallach,{0: ['futurist']},{0: 'Ari Wallach helps leaders more consciously and ethically shape tomorrow.'},en
Jonathan Marks,"{0: ['bioethicist', 'lawyer']}","{0: 'Jonathan Marks works at the intersections of ethics, law and policy -- writing and speaking about torture, obesity, fracking, health care and other pressing issues of our time.'}",en
Todd Scott,{0: ['first aid instructor']},{0: 'Todd Scott uses humor and pop culture to make CPR training more memorable.'},en
Zubaida Bai,"{0: [""women's health advocate""]}",{0: 'Zubaida Bai innovates health and livelihood solutions for underserved women and girls around the world.'},en
Chimamanda Ngozi Adichie,{0: ['novelist']},"{0: 'Inspired by Nigerian history and tragedies all but forgotten by recent generations of westerners, Chimamanda Ngozi Adichie’s novels and stories are jewels in the crown of diasporan literature. '}",en
Siamak Hariri,{0: ['architect']},"{0: 'Siamak Hariri holds deep respect for the transformative potential of architecture, specializing in creating works of enduring value.'}",en
Natasha Hurley-Walker,{0: ['astronomer']},{0: 'Natasha Hurley-Walker uses novel radio telescopes to explore the universe at some of the longest wavelengths of light.'},en
Amy Green,{0: ['video game designer']},{0: 'Amy Green creates narrative video games that focus on innovative stories.'},en
David Casarett,{0: ['physician']},{0: 'David Casarett asks: What if mainstream health care operated more like a medical marijuana dispensary? '},en
"Curtis ""Wall Street"" Carroll",{0: ['financial literacy advocate']},"{0: 'Curtis “Wall Street” Carroll overcame poverty, illiteracy, incarceration and a lack of outside support to become a stock investor, creator and teacher of his own financial literacy philosophy.'}",en
Stephanie Busari,{0: ['journalist']},{0: 'Stephanie Busari is a journalist and editor at CNN International Digital.'},en
Siddhartha Roy,{0: ['environmental engineer']},"{0: 'Siddhartha Roy is an environmental engineer and science communicator who works at the nexus of water quality, public health and environmental justice. He and his team helped uncover the Flint, Michigan Water Crisis.'}",en
His Holiness Pope Francis,{0: ['bishop of rome']},{0: 'Pope Francis is the Bishop of Rome and the head of the Roman Catholic Church. '},it
Serena Williams,"{0: ['athlete'], 1: ['journalist']}","{0: 'With her legendary spirit and unstoppable serve, tennis legend Serena Williams has become one of the world’s most enduring athletic superstars.', 1: 'Gayle King is a co-host of ""CBS This Morning” and Editor-at-Large of the award-winning O, the Oprah Magazine.'}",en
Lisa Genova,"{0: ['neuroscientist', 'novelist']}","{0: 'Through her fiction, Lisa Genova beckons us into the lives of people with neurological disease, making their worlds real and relatable.'}",en
Elon Musk,{0: ['serial entrepreneur']},{0: 'Elon Musk is the CEO and product architect of Tesla Motors and the CEO/CTO of Space Exploration Technologies (SpaceX).'},en
Deborah Lipstadt,{0: ['historian']},"{0: 'Deborah Lipstadt\'s research focuses on the development of Holocaust denial and how to fight for the truth in an era marked by ""alternative facts.""'}",en
Laura Galante,{0: ['cyberspace analyst']},"{0: 'Laura Galante profiles advanced cyber threats and network breaches and investigates the political, military and financial implications of cyber operations.'}",en
Sangu Delle,{0: ['entrepreneur']},"{0: 'Sangu Delle is an entrepreneur and clean water activist. A TED Fellow who hails from Ghana, he sees incredible potential in the African economy.'}",en
Karim Abouelnaga,{0: ['education entrepreneur']},{0: 'Karim Abouelnaga is working to provide kids with access to high-quality academic summer programming.'},en
Carolyn Jones,{0: ['photographic ethnographer']},{0: 'Carolyn Jones creates projects that point our attention towards issues of global concern.'},en
Robert Sapolsky,"{0: ['neuroscientist', 'primatologist', 'writer']}","{0: 'Robert Sapolsky is one of the leading neuroscientists in the world, studying stress in primates (including humans). '}",en
Jorge Drexler,"{0: ['musician', 'poet']}","{0: 'Jorge Drexler is a musician and the first Uruguayan to win an Oscar. His music plays with genre and influence, combining subtle harmonies and regional styles with electronic effects.'}",es
Shah Rukh Khan,"{0: ['actor', 'producer', 'activist']}","{0: 'With a fan following that runs into multi-millions, Shah Rukh Khan is at forefront of the Indian film industry and continues to rule at the box office in India.'}",en
Kate Stafford,{0: ['oceanographer']},"{0: ""Kate Stafford's research examines migratory movements, geographic variation and physical drivers of marine mammals, particularly large whales.""}",en
Stuart Russell,{0: ['ai expert']},"{0: ""Stuart Russell wrote the standard text on AI; now he thinks deeply on AI's future -- and the future of us humans, too.""}",en
Lucy Kalanithi,{0: ['caregiver']},{0: 'Lucy Kalanithi is dedicated to helping others choose the health care and end-of-life experiences that best align with their values.'},en
Ted Halstead,"{0: ['policy entrepreneur', 'climate expert', 'author']}",{0: 'Ted Halstead is breathing new life into US and global climate policy by mobilizing conservative leaders and CEOs around a breakthrough carbon dividends solution.'},en
Wendy Troxel,{0: ['sleep researcher']},{0: 'Wendy Troxel specializes in behavioral treatments for insomnia and other sleep disorders.'},en
T. Morgan Dixon,"{0: ['health activist'], 1: ['health activist']}","{0: 'T. Morgan Dixon is the cofounder and CEO of GirlTrek, inspiring more than 100,000 neighborhood walkers.', 1: 'As COO of GirlTrek, Vanessa Garrison mobilizes African-American women and girls to reclaim their health and communities through walking.'}",en
Rutger Bregman,{0: ['historian']},"{0: 'Rutger Bregman is the author of ""Utopia for Realists.""'}",en
Sitawa Wafula,{0: ['mental health advocate']},"{0: ""Sitawa Wafula started Kenya's first free mental health and epilepsy support line.""}",en
Anthony D. Romero,"{0: ['attorney', 'public-interest activist']}",{0: 'Anthony D. Romero is the executive director of the American Civil Liberties Union (ACLU).'},en
Nina Fedoroff,{0: ['molecular biologist']},{0: 'Nina Fedoroff writes and lectures about the history and science of genetically modified organisms.'},en
 OK Go,{0: ['band']},{0: 'OK Go fearlessly dream and build new worlds in a time when creative boundaries have all but dissolved.'},en
Triona McGrath,{0: ['chemical oceanographer']},{0: 'Triona McGrath researches how the oceans are changing due to human activities.'},en
Garry Kasparov,"{0: ['grandmaster', 'analyst']}",{0: 'Garry Kasparov is esteemed by many as the greatest chess player of all time. Now he’s engaged in a game with far higher stakes: the preservation of democracy.'},en
Marlon Peterson,{0: ['human justice advocate']},"{0: 'Marlon Peterson is a writer, youth development expert and human justice advocate.'}",en
Raj Panjabi,{0: ['physician']},{0: 'A billion people around the world lack access to health care because they live too far from a clinic. 2017 TED Prize winner Raj Panjabi aims to extend health services to the last mile.'},en
